
Using cpu device


Initial
----------
VAL 1/13 | Loss: 26.3211 | Batch Time: 0.724 Seconds | Accuracy: 0.0000
VAL 2/13 | Loss: 29.1038 | Batch Time: 0.737 Seconds | Accuracy: 0.0000
VAL 3/13 | Loss: 30.5981 | Batch Time: 0.687 Seconds | Accuracy: 0.0000
VAL 4/13 | Loss: 28.7989 | Batch Time: 0.631 Seconds | Accuracy: 0.0000
VAL 5/13 | Loss: 27.0196 | Batch Time: 0.671 Seconds | Accuracy: 0.0000
VAL 6/13 | Loss: 32.6045 | Batch Time: 0.733 Seconds | Accuracy: 0.0000
VAL 7/13 | Loss: 30.6393 | Batch Time: 0.731 Seconds | Accuracy: 0.0000
VAL 8/13 | Loss: 25.2856 | Batch Time: 0.737 Seconds | Accuracy: 0.0000
VAL 9/13 | Loss: 28.8239 | Batch Time: 0.654 Seconds | Accuracy: 0.0000
VAL 10/13 | Loss: 31.6727 | Batch Time: 0.658 Seconds | Accuracy: 0.0000
VAL 11/13 | Loss: 33.7256 | Batch Time: 0.631 Seconds | Accuracy: 0.0000
VAL 12/13 | Loss: 32.6860 | Batch Time: 0.671 Seconds | Accuracy: 0.0000
VAL 13/13 | Loss: 28.6186 | Batch Time: 0.449 Seconds | Accuracy: 0.0000

Average | Loss: 29.6844 | Time: 8.714 | Accuracy: 0.0000 

Epoch 1/8
*****
TRAIN 1/125 | Loss: 11.2078 | Batch Time: 2.537 Seconds | Accuracy: 0.0000
TRAIN 2/125 | Loss: 10.6614 | Batch Time: 2.250 Seconds | Accuracy: 0.0000
TRAIN 3/125 | Loss: 11.9984 | Batch Time: 2.367 Seconds | Accuracy: 0.0000
TRAIN 4/125 | Loss: 12.5159 | Batch Time: 2.438 Seconds | Accuracy: 0.0000
TRAIN 5/125 | Loss: 10.8493 | Batch Time: 2.782 Seconds | Accuracy: 0.0000
TRAIN 6/125 | Loss: 11.0540 | Batch Time: 2.890 Seconds | Accuracy: 0.0000
TRAIN 7/125 | Loss: 9.4227 | Batch Time: 2.432 Seconds | Accuracy: 0.0000
TRAIN 8/125 | Loss: 10.5046 | Batch Time: 2.436 Seconds | Accuracy: 0.0000
TRAIN 9/125 | Loss: 10.8996 | Batch Time: 2.447 Seconds | Accuracy: 0.0000
TRAIN 10/125 | Loss: 10.6397 | Batch Time: 2.273 Seconds | Accuracy: 0.0000
TRAIN 11/125 | Loss: 12.8718 | Batch Time: 2.694 Seconds | Accuracy: 0.0000
