
Using cuda device


Initial
----------
VAL 1/13 | Loss: 1.2579 | Batch Time: 0.058 Seconds | Accuracy: 0.7500
VAL 2/13 | Loss: 1.6634 | Batch Time: 0.065 Seconds | Accuracy: 0.8125
VAL 3/13 | Loss: 1.6321 | Batch Time: 0.046 Seconds | Accuracy: 0.6250
VAL 4/13 | Loss: 1.3743 | Batch Time: 0.046 Seconds | Accuracy: 0.9375
VAL 5/13 | Loss: 1.3650 | Batch Time: 0.044 Seconds | Accuracy: 0.7500
VAL 6/13 | Loss: 1.1377 | Batch Time: 0.051 Seconds | Accuracy: 0.8125
VAL 7/13 | Loss: 1.1898 | Batch Time: 0.053 Seconds | Accuracy: 0.8125
VAL 8/13 | Loss: 1.3130 | Batch Time: 0.039 Seconds | Accuracy: 0.7500
VAL 9/13 | Loss: 1.2347 | Batch Time: 0.041 Seconds | Accuracy: 0.6875
VAL 10/13 | Loss: 1.6314 | Batch Time: 0.043 Seconds | Accuracy: 0.6250
VAL 11/13 | Loss: 1.3545 | Batch Time: 0.056 Seconds | Accuracy: 0.6875
VAL 12/13 | Loss: 0.7994 | Batch Time: 0.055 Seconds | Accuracy: 0.9375
VAL 13/13 | Loss: 0.6648 | Batch Time: 0.058 Seconds | Accuracy: 1.0000

Average | Loss: 1.2783 | Time: 0.655 | Accuracy: 0.7837


Epoch 1/8
*****
TRAIN 1/125 | Loss: 0.0057 | Batch Time: 1.433 Seconds | Accuracy: 1.0000
TRAIN 2/125 | Loss: 0.0414 | Batch Time: 1.550 Seconds | Accuracy: 1.0000
TRAIN 3/125 | Loss: 0.0220 | Batch Time: 0.665 Seconds | Accuracy: 1.0000
TRAIN 4/125 | Loss: 0.0305 | Batch Time: 0.678 Seconds | Accuracy: 1.0000
TRAIN 5/125 | Loss: 0.0483 | Batch Time: 0.811 Seconds | Accuracy: 1.0000
TRAIN 6/125 | Loss: 0.1594 | Batch Time: 0.681 Seconds | Accuracy: 1.0000
TRAIN 7/125 | Loss: 0.0385 | Batch Time: 0.683 Seconds | Accuracy: 1.0000
TRAIN 8/125 | Loss: 0.0181 | Batch Time: 0.715 Seconds | Accuracy: 1.0000
TRAIN 9/125 | Loss: 0.0654 | Batch Time: 0.681 Seconds | Accuracy: 1.0000
TRAIN 10/125 | Loss: 0.0122 | Batch Time: 0.688 Seconds | Accuracy: 1.0000
TRAIN 11/125 | Loss: 0.0727 | Batch Time: 0.859 Seconds | Accuracy: 1.0000
TRAIN 12/125 | Loss: 0.0439 | Batch Time: 0.759 Seconds | Accuracy: 1.0000
TRAIN 13/125 | Loss: 0.0337 | Batch Time: 0.843 Seconds | Accuracy: 1.0000
TRAIN 14/125 | Loss: 0.0538 | Batch Time: 0.689 Seconds | Accuracy: 1.0000
TRAIN 15/125 | Loss: 0.0596 | Batch Time: 0.786 Seconds | Accuracy: 1.0000
TRAIN 16/125 | Loss: 0.0121 | Batch Time: 0.796 Seconds | Accuracy: 1.0000
TRAIN 17/125 | Loss: 0.0939 | Batch Time: 0.729 Seconds | Accuracy: 1.0000
TRAIN 18/125 | Loss: 0.0548 | Batch Time: 0.711 Seconds | Accuracy: 1.0000
TRAIN 19/125 | Loss: 0.0472 | Batch Time: 0.757 Seconds | Accuracy: 1.0000
TRAIN 20/125 | Loss: 0.0573 | Batch Time: 0.753 Seconds | Accuracy: 1.0000
TRAIN 21/125 | Loss: 0.0662 | Batch Time: 0.709 Seconds | Accuracy: 1.0000
TRAIN 22/125 | Loss: 0.0696 | Batch Time: 0.718 Seconds | Accuracy: 1.0000
TRAIN 23/125 | Loss: 0.0140 | Batch Time: 0.803 Seconds | Accuracy: 1.0000
TRAIN 24/125 | Loss: 0.0223 | Batch Time: 0.764 Seconds | Accuracy: 1.0000
TRAIN 25/125 | Loss: 0.0232 | Batch Time: 0.777 Seconds | Accuracy: 1.0000
TRAIN 26/125 | Loss: 0.0444 | Batch Time: 0.760 Seconds | Accuracy: 1.0000
TRAIN 27/125 | Loss: 0.0409 | Batch Time: 0.750 Seconds | Accuracy: 1.0000
TRAIN 28/125 | Loss: 0.0317 | Batch Time: 0.697 Seconds | Accuracy: 1.0000
TRAIN 29/125 | Loss: 0.0292 | Batch Time: 0.890 Seconds | Accuracy: 1.0000
TRAIN 30/125 | Loss: 0.0616 | Batch Time: 1.012 Seconds | Accuracy: 1.0000
TRAIN 31/125 | Loss: 0.0617 | Batch Time: 0.742 Seconds | Accuracy: 1.0000
TRAIN 32/125 | Loss: 0.0465 | Batch Time: 0.849 Seconds | Accuracy: 1.0000
TRAIN 33/125 | Loss: 0.0592 | Batch Time: 0.805 Seconds | Accuracy: 1.0000
TRAIN 34/125 | Loss: 0.0443 | Batch Time: 0.903 Seconds | Accuracy: 1.0000
TRAIN 35/125 | Loss: 0.0191 | Batch Time: 1.052 Seconds | Accuracy: 1.0000
TRAIN 36/125 | Loss: 0.0166 | Batch Time: 0.744 Seconds | Accuracy: 1.0000
TRAIN 37/125 | Loss: 0.0401 | Batch Time: 0.842 Seconds | Accuracy: 1.0000
TRAIN 38/125 | Loss: 0.0249 | Batch Time: 0.861 Seconds | Accuracy: 1.0000
TRAIN 39/125 | Loss: 0.0354 | Batch Time: 1.110 Seconds | Accuracy: 1.0000
TRAIN 40/125 | Loss: 0.0378 | Batch Time: 0.865 Seconds | Accuracy: 1.0000
TRAIN 41/125 | Loss: 0.0487 | Batch Time: 0.743 Seconds | Accuracy: 1.0000
TRAIN 42/125 | Loss: 0.0473 | Batch Time: 0.952 Seconds | Accuracy: 1.0000
TRAIN 43/125 | Loss: 0.0317 | Batch Time: 0.957 Seconds | Accuracy: 1.0000
TRAIN 44/125 | Loss: 0.0507 | Batch Time: 1.012 Seconds | Accuracy: 1.0000
TRAIN 45/125 | Loss: 0.0854 | Batch Time: 1.067 Seconds | Accuracy: 1.0000
TRAIN 46/125 | Loss: 0.0426 | Batch Time: 1.019 Seconds | Accuracy: 1.0000
TRAIN 47/125 | Loss: 0.0199 | Batch Time: 0.748 Seconds | Accuracy: 1.0000
TRAIN 48/125 | Loss: 0.0244 | Batch Time: 0.786 Seconds | Accuracy: 1.0000
TRAIN 49/125 | Loss: 0.0235 | Batch Time: 0.752 Seconds | Accuracy: 1.0000
TRAIN 50/125 | Loss: 0.0959 | Batch Time: 0.800 Seconds | Accuracy: 1.0000
TRAIN 51/125 | Loss: 0.0219 | Batch Time: 0.817 Seconds | Accuracy: 1.0000
TRAIN 52/125 | Loss: 0.0715 | Batch Time: 0.823 Seconds | Accuracy: 1.0000
TRAIN 53/125 | Loss: 0.0420 | Batch Time: 0.833 Seconds | Accuracy: 1.0000
TRAIN 54/125 | Loss: 0.0664 | Batch Time: 0.954 Seconds | Accuracy: 1.0000
TRAIN 55/125 | Loss: 0.0547 | Batch Time: 1.091 Seconds | Accuracy: 1.0000
TRAIN 56/125 | Loss: 0.0235 | Batch Time: 0.801 Seconds | Accuracy: 1.0000
TRAIN 57/125 | Loss: 0.0123 | Batch Time: 0.916 Seconds | Accuracy: 1.0000
TRAIN 58/125 | Loss: 0.0173 | Batch Time: 0.727 Seconds | Accuracy: 1.0000
TRAIN 59/125 | Loss: 0.0264 | Batch Time: 0.864 Seconds | Accuracy: 1.0000
TRAIN 60/125 | Loss: 0.0543 | Batch Time: 0.810 Seconds | Accuracy: 1.0000
TRAIN 61/125 | Loss: 0.0124 | Batch Time: 0.794 Seconds | Accuracy: 1.0000
TRAIN 62/125 | Loss: 0.0907 | Batch Time: 1.009 Seconds | Accuracy: 1.0000
TRAIN 63/125 | Loss: 0.0387 | Batch Time: 1.041 Seconds | Accuracy: 1.0000
TRAIN 64/125 | Loss: 0.0459 | Batch Time: 0.913 Seconds | Accuracy: 1.0000
TRAIN 65/125 | Loss: 0.0832 | Batch Time: 0.764 Seconds | Accuracy: 1.0000
TRAIN 66/125 | Loss: 0.3996 | Batch Time: 0.965 Seconds | Accuracy: 0.8750
TRAIN 67/125 | Loss: 0.1166 | Batch Time: 0.985 Seconds | Accuracy: 1.0000
TRAIN 68/125 | Loss: 0.0532 | Batch Time: 0.794 Seconds | Accuracy: 1.0000
TRAIN 69/125 | Loss: 0.1186 | Batch Time: 1.124 Seconds | Accuracy: 1.0000
TRAIN 70/125 | Loss: 0.0830 | Batch Time: 1.164 Seconds | Accuracy: 1.0000
TRAIN 71/125 | Loss: 0.0575 | Batch Time: 1.170 Seconds | Accuracy: 1.0000
TRAIN 72/125 | Loss: 0.0265 | Batch Time: 1.325 Seconds | Accuracy: 1.0000
TRAIN 73/125 | Loss: 0.0240 | Batch Time: 0.853 Seconds | Accuracy: 1.0000
TRAIN 74/125 | Loss: 0.0294 | Batch Time: 0.843 Seconds | Accuracy: 1.0000
TRAIN 75/125 | Loss: 0.1007 | Batch Time: 0.839 Seconds | Accuracy: 1.0000
TRAIN 76/125 | Loss: 0.0203 | Batch Time: 0.857 Seconds | Accuracy: 1.0000
TRAIN 77/125 | Loss: 0.0407 | Batch Time: 0.810 Seconds | Accuracy: 1.0000
TRAIN 78/125 | Loss: 0.0259 | Batch Time: 0.799 Seconds | Accuracy: 1.0000
TRAIN 79/125 | Loss: 0.0700 | Batch Time: 0.994 Seconds | Accuracy: 1.0000
TRAIN 80/125 | Loss: 0.0562 | Batch Time: 0.812 Seconds | Accuracy: 1.0000
